Category,Start time,End time
Screen ,2015-10-02 19:12:18,2015-10-02 19:12:41
Screen ,2015-10-02 19:10:08,2015-10-02 19:10:12
Screen ,2015-10-02 19:09:43,2015-10-02 19:09:48
Screen ,2015-10-02 19:08:27,2015-10-02 19:09:40
Driving,2015-10-02 19:07:51,2015-10-02 19:29:52
Screen ,2015-10-02 19:07:44,2015-10-02 19:08:26
Screen ,2015-10-02 19:00:25,2015-10-02 19:00:33
Screen ,2015-10-02 18:56:57,2015-10-02 18:56:59
Screen ,2015-10-02 18:56:24,2015-10-02 18:56:56
Screen ,2015-10-02 18:36:46,2015-10-02 18:42:24
Screen ,2015-10-02 18:29:44,2015-10-02 18:29:53
Screen ,2015-10-02 18:29:13,2015-10-02 18:29:38
Screen ,2015-10-02 18:23:33,2015-10-02 18:28:40
Screen ,2015-10-02 18:22:00,2015-10-02 18:22:37
Screen ,2015-10-02 18:11:53,2015-10-02 18:15:52
Screen ,2015-10-02 17:58:51,2015-10-02 17:59:37
Screen ,2015-10-02 17:58:31,2015-10-02 17:58:37
Home ,2015-10-02 17:41:03,2015-10-02 19:09:32
Screen ,2015-10-02 17:40:48,2015-10-02 17:41:03
Screen ,2015-10-02 17:00:13,2015-10-02 17:00:39
Screen ,2015-10-02 16:54:59,2015-10-02 16:55:06
Screen ,2015-10-02 16:53:37,2015-10-02 16:54:59
Home ,2015-10-02 16:52:28,2015-10-02 17:37:51
Driving,2015-10-02 16:48:29,2015-10-02 16:52:09
Screen ,2015-10-02 16:47:00,2015-10-02 16:47:06
Screen ,2015-10-02 16:45:22,2015-10-02 16:45:43
Screen ,2015-10-02 16:44:41,2015-10-02 16:44:49
Screen ,2015-10-02 16:43:01,2015-10-02 16:43:23
Screen ,2015-10-02 16:42:01,2015-10-02 16:42:25
Screen ,2015-10-02 16:39:16,2015-10-02 16:39:34
Screen ,2015-10-02 16:37:27,2015-10-02 16:37:39
Screen ,2015-10-02 16:35:01,2015-10-02 16:35:23
Screen ,2015-10-02 16:33:02,2015-10-02 16:33:27
Screen ,2015-10-02 16:31:19,2015-10-02 16:32:08
Screen ,2015-10-02 16:30:15,2015-10-02 16:30:36
Screen ,2015-10-02 16:29:43,2015-10-02 16:29:50
Screen ,2015-10-02 16:29:01,2015-10-02 16:29:15
Screen ,2015-10-02 16:27:19,2015-10-02 16:27:44
Screen ,2015-10-02 16:26:01,2015-10-02 16:26:39
Screen ,2015-10-02 16:22:23,2015-10-02 16:22:25
GYM,2015-10-02 16:21:15,2015-10-02 16:47:03
Screen ,2015-10-02 16:21:10,2015-10-02 16:21:17
Driving,2015-10-02 16:16:04,2015-10-02 16:20:16
Screen ,2015-10-02 16:09:32,2015-10-02 16:12:15
Home ,2015-10-02 16:07:29,2015-10-02 16:16:41
Screen ,2015-10-02 15:55:10,2015-10-02 15:55:32
Driving,2015-10-02 15:44:21,2015-10-02 16:06:43
Screen ,2015-10-02 14:55:05,2015-10-02 15:52:25
Screen ,2015-10-02 14:31:40,2015-10-02 14:48:10
Driving,2015-10-02 14:31:38,2015-10-02 14:48:40
Screen ,2015-10-02 14:28:20,2015-10-02 14:28:24
Screen ,2015-10-02 14:27:02,2015-10-02 14:27:10
Screen ,2015-10-02 13:21:37,2015-10-02 13:23:19
Screen ,2015-10-02 12:05:30,2015-10-02 12:06:41
Screen ,2015-10-02 11:58:44,2015-10-02 11:58:55
Screen ,2015-10-02 11:40:27,2015-10-02 11:40:40
Screen ,2015-10-02 11:32:04,2015-10-02 11:32:24
Screen ,2015-10-02 10:53:57,2015-10-02 10:54:05
Screen ,2015-10-02 10:51:40,2015-10-02 10:51:50
Screen ,2015-10-02 10:51:22,2015-10-02 10:51:39
Screen ,2015-10-02 10:45:35,2015-10-02 10:46:21
Screen ,2015-10-02 10:07:03,2015-10-02 10:07:07
Screen ,2015-10-02 10:06:32,2015-10-02 10:06:50
Screen ,2015-10-02 10:00:05,2015-10-02 10:00:26
Screen ,2015-10-02 09:55:05,2015-10-02 09:55:39
Screen ,2015-10-02 09:54:23,2015-10-02 09:54:49
Screen ,2015-10-02 09:46:31,2015-10-02 09:47:09
Screen ,2015-10-02 09:20:56,2015-10-02 09:21:04
Screen ,2015-10-02 08:55:01,2015-10-02 08:55:13
Screen ,2015-10-02 08:54:50,2015-10-02 08:55:00
Screen ,2015-10-02 08:42:40,2015-10-02 08:43:06
Screen ,2015-10-02 08:41:15,2015-10-02 08:41:15
WORK,2015-10-02 08:37:25,2015-10-02 14:27:06
Screen ,2015-10-02 08:37:17,2015-10-02 08:37:28
Screen ,2015-10-02 08:35:47,2015-10-02 08:35:57
Driving,2015-10-02 08:25:59,2015-10-02 08:35:26
Screen ,2015-10-02 08:14:59,2015-10-02 08:22:38
Screen ,2015-10-02 08:14:41,2015-10-02 08:14:57
Screen ,2015-10-02 08:14:19,2015-10-02 08:14:19
Screen ,2015-10-02 07:59:00,2015-10-02 08:12:57
Screen ,2015-10-02 07:54:49,2015-10-02 07:55:29
Screen ,2015-10-02 07:52:43,2015-10-02 07:53:33
Screen ,2015-10-02 07:32:26,2015-10-02 07:52:22
Screen ,2015-10-02 07:31:36,2015-10-02 07:32:23
Screen ,2015-10-02 07:30:00,2015-10-02 07:31:35
Screen ,2015-10-02 07:20:14,2015-10-02 07:20:21
Screen ,2015-10-02 07:20:01,2015-10-02 07:20:12
Screen ,2015-10-02 07:10:00,2015-10-02 07:10:14
Screen ,2015-10-02 07:00:10,2015-10-02 07:00:20
Screen ,2015-10-02 07:00:01,2015-10-02 07:00:09
Screen ,2015-10-02 06:38:31,2015-10-02 06:38:32
Screen ,2015-10-02 06:38:27,2015-10-02 06:38:29
Screen ,2015-10-02 05:43:31,2015-10-02 06:25:20
Screen ,2015-10-02 05:42:21,2015-10-02 05:43:30
Screen ,2015-10-02 05:36:28,2015-10-02 05:42:20
Screen ,2015-10-02 05:35:17,2015-10-02 05:36:27
Screen ,2015-10-02 05:30:02,2015-10-02 05:35:15
Screen ,2015-10-01 22:13:02,2015-10-01 22:47:52
Screen ,2015-10-01 21:46:38,2015-10-01 22:13:00
Screen ,2015-10-01 21:42:39,2015-10-01 21:46:37
Screen ,2015-10-01 21:42:05,2015-10-01 21:42:08
Screen ,2015-10-01 21:30:05,2015-10-01 21:30:09
Screen ,2015-10-01 21:25:44,2015-10-01 21:26:58
Screen ,2015-10-01 21:11:49,2015-10-01 21:12:06
Screen ,2015-10-01 21:04:39,2015-10-01 21:11:09
Screen ,2015-10-01 19:50:31,2015-10-01 19:51:04
Screen ,2015-10-01 18:32:44,2015-10-01 18:33:11
Screen ,2015-10-01 17:22:20,2015-10-01 17:37:59
Screen ,2015-10-01 17:15:43,2015-10-01 17:21:33
Home ,2015-10-01 17:10:55,2015-10-02 08:26:49
Home ,2015-10-01 17:07:09,2015-10-01 17:10:41
Screen ,2015-10-01 17:06:53,2015-10-01 17:07:59
Driving,2015-10-01 16:52:19,2015-10-01 17:06:47
Screen ,2015-10-01 16:50:14,2015-10-01 16:51:09
Screen ,2015-10-01 16:47:47,2015-10-01 16:48:18
Screen ,2015-10-01 16:45:46,2015-10-01 16:45:52
Screen ,2015-10-01 16:22:59,2015-10-01 16:23:11
Screen ,2015-10-01 16:21:43,2015-10-01 16:22:56
Screen ,2015-10-01 16:21:20,2015-10-01 16:21:23
Screen ,2015-10-01 16:19:18,2015-10-01 16:20:04
Screen ,2015-10-01 15:24:15,2015-10-01 15:24:46
Screen ,2015-10-01 14:33:26,2015-10-01 14:33:31
Screen ,2015-10-01 14:29:03,2015-10-01 14:29:46
Screen ,2015-10-01 13:30:15,2015-10-01 13:30:28
Screen ,2015-10-01 13:11:26,2015-10-01 13:11:31
Screen ,2015-10-01 13:11:06,2015-10-01 13:11:25
Screen ,2015-10-01 13:09:15,2015-10-01 13:09:24
Screen ,2015-10-01 13:00:16,2015-10-01 13:00:37
Screen ,2015-10-01 12:57:55,2015-10-01 12:58:35
Screen ,2015-10-01 12:40:27,2015-10-01 12:40:32
Screen ,2015-10-01 12:36:05,2015-10-01 12:36:42
Screen ,2015-10-01 12:28:47,2015-10-01 12:28:51
Screen ,2015-10-01 12:18:01,2015-10-01 12:18:18
Screen ,2015-10-01 12:17:35,2015-10-01 12:17:46
Screen ,2015-10-01 12:08:34,2015-10-01 12:08:39
Screen ,2015-10-01 12:04:54,2015-10-01 12:05:14
Screen ,2015-10-01 10:20:54,2015-10-01 10:21:08
Screen ,2015-10-01 09:17:02,2015-10-01 09:17:32
Screen ,2015-10-01 08:59:16,2015-10-01 09:00:21
Screen ,2015-10-01 08:53:23,2015-10-01 08:53:25
Screen ,2015-10-01 08:51:31,2015-10-01 08:51:57
Screen ,2015-10-01 08:51:12,2015-10-01 08:51:29
Screen ,2015-10-01 08:48:30,2015-10-01 08:48:39
WORK,2015-10-01 08:44:23,2015-10-01 16:45:51
Screen ,2015-10-01 08:44:15,2015-10-01 08:44:39
Screen ,2015-10-01 08:40:06,2015-10-01 08:40:21
Driving,2015-10-01 08:29:38,2015-10-01 08:42:09
Screen ,2015-10-01 08:25:42,2015-10-01 08:27:02
Screen ,2015-10-01 08:19:31,2015-10-01 08:20:10
Screen ,2015-10-01 08:07:11,2015-10-01 08:07:37
Screen ,2015-10-01 08:02:59,2015-10-01 08:04:47
Screen ,2015-10-01 07:52:35,2015-10-01 07:53:09
Screen ,2015-10-01 07:51:05,2015-10-01 07:51:42
Screen ,2015-10-01 07:50:14,2015-10-01 07:50:56
Screen ,2015-10-01 07:50:00,2015-10-01 07:50:11
Screen ,2015-10-01 07:40:01,2015-10-01 07:40:13
Screen ,2015-10-01 07:30:01,2015-10-01 07:30:10
Screen ,2015-10-01 07:20:00,2015-10-01 07:20:10
Screen ,2015-10-01 07:10:11,2015-10-01 07:10:23
